,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
y[0],0.001,1.806,-3.372,3.567,0.026,0.018,5093.0,4602.0,1.05
y[1],0.003,1.806,-3.494,3.447,0.026,0.018,4986.0,4470.0,1.05
y[2],-0.001,1.806,-3.469,3.469,0.026,0.018,5066.0,4627.0,1.05
y[3],0.003,1.801,-3.454,3.458,0.026,0.018,5172.0,4568.0,1.05
y[4],0.002,1.8,-3.463,3.446,0.026,0.018,5168.0,4549.0,1.05
y[5],0.004,1.802,-3.422,3.48,0.026,0.018,4961.0,4513.0,1.05
y[6],0.004,1.804,-3.397,3.524,0.026,0.018,5057.0,4457.0,1.05
y[7],-0.0,1.806,-3.499,3.422,0.026,0.018,5177.0,4632.0,1.05
y[8],0.001,1.805,-3.49,3.45,0.026,0.018,5128.0,4608.0,1.05
y[9],0.003,1.804,-3.43,3.501,0.026,0.018,5023.0,4579.0,1.05
y[10],0.002,1.803,-3.433,3.499,0.026,0.018,5055.0,4442.0,1.05
y[11],0.006,1.795,-3.429,3.45,0.026,0.018,5067.0,4556.0,1.05
y[12],0.001,1.811,-3.472,3.489,0.026,0.018,5067.0,4527.0,1.05
y[13],0.001,1.806,-3.476,3.463,0.026,0.018,4988.0,4514.0,1.05
y[14],-0.001,1.808,-3.426,3.515,0.026,0.018,5009.0,4584.0,1.05
y[15],0.005,1.798,-3.406,3.502,0.026,0.018,5077.0,4547.0,1.05
y[16],-0.0,1.807,-3.493,3.45,0.026,0.018,5175.0,4548.0,1.05
y[17],0.008,1.799,-3.404,3.482,0.026,0.018,5072.0,4527.0,1.05
y[18],-0.001,1.806,-3.447,3.491,0.026,0.018,5159.0,4594.0,1.05
y[19],0.002,1.804,-3.396,3.527,0.026,0.018,5042.0,4589.0,1.05
y[20],0.002,1.801,-3.464,3.442,0.025,0.018,5161.0,4631.0,1.05
y[21],-0.0,1.805,-3.46,3.475,0.026,0.018,5101.0,4614.0,1.05
y[22],0.003,1.805,-3.431,3.5,0.026,0.018,5094.0,4530.0,1.05
y[23],0.001,1.805,-3.424,3.512,0.026,0.018,5094.0,4493.0,1.05
y[24],-0.001,1.808,-3.441,3.507,0.026,0.018,5105.0,4574.0,1.05
y[25],0.004,1.803,-3.463,3.467,0.026,0.018,5073.0,4484.0,1.05
y[26],-0.001,1.809,-3.452,3.495,0.026,0.018,5114.0,4547.0,1.05
y[27],0.009,1.798,-3.433,3.477,0.026,0.018,5109.0,4536.0,1.05
y[28],0.003,1.803,-3.433,3.487,0.026,0.018,5004.0,4513.0,1.05
y[29],0.004,1.801,-3.437,3.486,0.026,0.018,5089.0,4429.0,1.05
y[30],0.003,1.803,-3.447,3.475,0.026,0.018,5050.0,4544.0,1.05
y[31],0.003,1.8,-3.465,3.443,0.026,0.018,5052.0,4572.0,1.05
y[32],0.004,1.803,-3.457,3.467,0.026,0.018,5148.0,4540.0,1.05
y[33],-0.0,1.805,-3.413,3.527,0.026,0.018,5149.0,4508.0,1.05
y[34],0.004,1.801,-3.451,3.473,0.026,0.018,5152.0,4542.0,1.05
y[35],0.002,1.809,-3.456,3.484,0.026,0.018,5095.0,4509.0,1.05
y[36],0.003,1.804,-3.385,3.529,0.026,0.018,5128.0,4549.0,1.05
y[37],0.005,1.801,-3.426,3.484,0.026,0.018,5012.0,4517.0,1.05
y[38],0.003,1.805,-3.445,3.488,0.026,0.018,5057.0,4518.0,1.05
y[39],0.002,1.803,-3.422,3.492,0.026,0.018,5083.0,4558.0,1.05
y[40],0.001,1.805,-3.444,3.472,0.026,0.018,5145.0,4537.0,1.05
y[41],0.005,1.802,-3.488,3.448,0.026,0.018,5031.0,4621.0,1.05
y[42],-0.002,1.807,-3.453,3.472,0.026,0.018,5085.0,4572.0,1.05
y[43],0.007,1.803,-3.458,3.465,0.026,0.018,5096.0,4444.0,1.05
y[44],0.005,1.8,-3.419,3.492,0.026,0.018,5043.0,4521.0,1.05
y[45],-0.002,1.802,-3.469,3.459,0.026,0.018,4971.0,4606.0,1.05
y[46],0.002,1.806,-3.456,3.474,0.026,0.018,5095.0,4528.0,1.05
y[47],-0.001,1.803,-3.494,3.413,0.026,0.018,5086.0,4666.0,1.05
y[48],-0.0,1.806,-3.451,3.474,0.026,0.018,5066.0,4460.0,1.05
y[49],0.001,1.807,-3.413,3.512,0.026,0.018,5017.0,4490.0,1.05
y[50],0.003,1.807,-3.436,3.525,0.026,0.018,5131.0,4421.0,1.05
y[51],0.002,1.8,-3.411,3.496,0.026,0.018,5123.0,4624.0,1.05
y[52],0.003,1.801,-3.496,3.424,0.026,0.018,5042.0,4510.0,1.05
y[53],0.004,1.802,-3.447,3.475,0.026,0.018,5109.0,4474.0,1.05
y[54],0.001,1.806,-3.449,3.492,0.026,0.018,5075.0,4521.0,1.05
y[55],0.001,1.808,-3.443,3.484,0.026,0.018,5061.0,4469.0,1.05
y[56],0.002,1.806,-3.445,3.485,0.026,0.018,5047.0,4494.0,1.05
y[57],0.006,1.801,-3.423,3.477,0.026,0.018,5055.0,4532.0,1.05
y[58],0.002,1.804,-3.454,3.46,0.026,0.018,5148.0,4642.0,1.05
y[59],0.004,1.804,-3.491,3.441,0.026,0.018,5045.0,4468.0,1.05
y[60],0.006,1.801,-3.497,3.43,0.026,0.018,5109.0,4453.0,1.05
y[61],-0.001,1.806,-3.42,3.514,0.026,0.018,5087.0,4497.0,1.05
y[62],0.005,1.803,-3.431,3.492,0.026,0.018,5063.0,4487.0,1.05
y[63],-0.001,1.807,-3.484,3.443,0.026,0.018,5080.0,4541.0,1.05
y[64],0.002,1.802,-3.422,3.49,0.026,0.018,5093.0,4529.0,1.05
y[65],0.0,1.804,-3.386,3.539,0.026,0.018,5073.0,4465.0,1.05
y[66],0.003,1.801,-3.453,3.458,0.026,0.018,5092.0,4564.0,1.05
y[67],0.004,1.801,-3.465,3.443,0.025,0.018,5189.0,4404.0,1.05
y[68],0.001,1.804,-3.451,3.478,0.026,0.018,5023.0,4432.0,1.05
y[69],0.003,1.805,-3.42,3.521,0.026,0.018,5102.0,4486.0,1.05
y[70],0.003,1.802,-3.395,3.521,0.026,0.018,5063.0,4533.0,1.05
y[71],0.003,1.798,-3.462,3.456,0.026,0.018,5117.0,4414.0,1.05
y[72],0.001,1.798,-3.468,3.428,0.025,0.018,5253.0,4628.0,1.05
y[73],0.004,1.799,-3.4,3.499,0.026,0.018,5091.0,4527.0,1.05
y[74],0.004,1.804,-3.451,3.462,0.026,0.018,5063.0,4423.0,1.05
y[75],-0.002,1.81,-3.465,3.473,0.026,0.018,5134.0,4475.0,1.05
y[76],-0.0,1.806,-3.479,3.46,0.026,0.018,5108.0,4624.0,1.05
y[77],0.001,1.802,-3.441,3.483,0.026,0.018,5036.0,4522.0,1.05
y[78],-0.001,1.809,-3.449,3.49,0.026,0.018,5061.0,4565.0,1.05
y[79],0.002,1.806,-3.44,3.505,0.026,0.018,5070.0,4499.0,1.05
y[80],0.0,1.802,-3.432,3.488,0.025,0.018,5202.0,4542.0,1.05
y[81],0.001,1.806,-3.422,3.516,0.026,0.018,5089.0,4534.0,1.05
y[82],0.004,1.803,-3.492,3.456,0.026,0.018,5032.0,4462.0,1.05
y[83],0.001,1.802,-3.428,3.488,0.026,0.018,5157.0,4531.0,1.05
y[84],0.004,1.799,-3.439,3.475,0.026,0.018,5110.0,4613.0,1.05
y[85],0.001,1.804,-3.457,3.482,0.026,0.018,5120.0,4535.0,1.05
y[86],0.001,1.803,-3.406,3.509,0.026,0.018,5082.0,4635.0,1.05
y[87],0.002,1.805,-3.361,3.566,0.026,0.018,5097.0,4529.0,1.05
y[88],0.003,1.802,-3.447,3.465,0.026,0.018,5068.0,4474.0,1.05
y[89],0.003,1.804,-3.413,3.509,0.026,0.018,5024.0,4534.0,1.05
y[90],0.002,1.801,-3.449,3.473,0.026,0.018,5052.0,4534.0,1.05
y[91],0.006,1.801,-3.452,3.461,0.026,0.018,5071.0,4566.0,1.05
y[92],-0.001,1.804,-3.466,3.45,0.026,0.018,5102.0,4526.0,1.05
y[93],-0.002,1.807,-3.442,3.498,0.026,0.018,5181.0,4527.0,1.05
y[94],-0.002,1.807,-3.445,3.489,0.026,0.018,5062.0,4514.0,1.05
y[95],0.001,1.802,-3.432,3.48,0.026,0.018,5056.0,4549.0,1.05
y[96],0.002,1.802,-3.512,3.418,0.026,0.018,5086.0,4570.0,1.05
y[97],0.007,1.801,-3.469,3.45,0.026,0.018,4992.0,4556.0,1.05
y[98],-0.0,1.81,-3.475,3.473,0.026,0.018,5085.0,4672.0,1.05
x[0],0.01,0.01,0.0,0.028,0.0,0.0,495864.0,213974.0,1.0
x[1],0.01,0.01,0.0,0.028,0.0,0.0,491019.0,215048.0,1.0
x[2],0.01,0.01,0.0,0.028,0.0,0.0,480031.0,207278.0,1.0
x[3],0.01,0.01,0.0,0.028,0.0,0.0,493549.0,211120.0,1.0
x[4],0.01,0.01,0.0,0.028,0.0,0.0,492271.0,212668.0,1.0
x[5],0.01,0.01,0.0,0.028,0.0,0.0,489935.0,210680.0,1.0
x[6],0.01,0.01,0.0,0.028,0.0,0.0,493260.0,212999.0,1.0
x[7],0.01,0.01,0.0,0.028,0.0,0.0,494060.0,211159.0,1.0
x[8],0.01,0.01,0.0,0.028,0.0,0.0,493657.0,210217.0,1.0
x[9],0.01,0.01,0.0,0.028,0.0,0.0,487457.0,212816.0,1.0
x[10],0.01,0.01,0.0,0.028,0.0,0.0,490116.0,211127.0,1.0
x[11],0.01,0.01,0.0,0.028,0.0,0.0,492398.0,218031.0,1.0
x[12],0.01,0.01,0.0,0.028,0.0,0.0,489879.0,209417.0,1.0
x[13],0.01,0.01,0.0,0.028,0.0,0.0,487026.0,210849.0,1.0
x[14],0.01,0.01,0.0,0.028,0.0,0.0,482617.0,207906.0,1.0
x[15],0.01,0.01,0.0,0.028,0.0,0.0,498941.0,216284.0,1.0
x[16],0.01,0.01,0.0,0.028,0.0,0.0,489159.0,211190.0,1.0
x[17],0.01,0.01,0.0,0.028,0.0,0.0,498365.0,213297.0,1.0
x[18],0.01,0.01,0.0,0.028,0.0,0.0,491630.0,207634.0,1.0
x[19],0.01,0.01,0.0,0.028,0.0,0.0,489413.0,214307.0,1.0
x[20],0.01,0.01,0.0,0.028,0.0,0.0,499561.0,213266.0,1.0
x[21],0.01,0.01,0.0,0.028,0.0,0.0,493240.0,213630.0,1.0
x[22],0.01,0.01,0.0,0.028,0.0,0.0,493706.0,210007.0,1.0
x[23],0.01,0.01,0.0,0.028,0.0,0.0,490773.0,210869.0,1.0
x[24],0.01,0.01,0.0,0.028,0.0,0.0,481504.0,210544.0,1.0
x[25],0.01,0.01,0.0,0.028,0.0,0.0,495904.0,213366.0,1.0
x[26],0.01,0.01,0.0,0.028,0.0,0.0,489834.0,210315.0,1.0
x[27],0.01,0.01,0.0,0.028,0.0,0.0,503716.0,212252.0,1.0
x[28],0.01,0.01,0.0,0.028,0.0,0.0,492384.0,213481.0,1.0
x[29],0.01,0.01,0.0,0.028,0.0,0.0,493549.0,214795.0,1.0
x[30],0.01,0.01,0.0,0.028,0.0,0.0,488136.0,211677.0,1.0
x[31],0.01,0.01,0.0,0.028,0.0,0.0,491407.0,212715.0,1.0
x[32],0.01,0.01,0.0,0.028,0.0,0.0,498549.0,211913.0,1.0
x[33],0.01,0.01,0.0,0.028,0.0,0.0,483450.0,211259.0,1.0
x[34],0.01,0.01,0.0,0.028,0.0,0.0,492942.0,210340.0,1.0
x[35],0.01,0.01,0.0,0.028,0.0,0.0,489828.0,206334.0,1.0
x[36],0.01,0.01,0.0,0.028,0.0,0.0,493434.0,211427.0,1.0
x[37],0.01,0.01,0.0,0.028,0.0,0.0,500023.0,214957.0,1.0
x[38],0.01,0.01,0.0,0.028,0.0,0.0,488207.0,210438.0,1.0
x[39],0.01,0.01,0.0,0.028,0.0,0.0,485619.0,210304.0,1.0
x[40],0.01,0.01,0.0,0.028,0.0,0.0,489657.0,210977.0,1.0
x[41],0.01,0.01,0.0,0.028,0.0,0.0,493989.0,209368.0,1.0
x[42],0.01,0.01,0.0,0.028,0.0,0.0,499024.0,209792.0,1.0
x[43],0.01,0.01,0.0,0.028,0.0,0.0,500269.0,213766.0,1.0
x[44],0.01,0.01,0.0,0.028,0.0,0.0,499407.0,213030.0,1.0
x[45],0.01,0.01,0.0,0.028,0.0,0.0,501816.0,217144.0,1.0
x[46],0.01,0.01,0.0,0.028,0.0,0.0,497109.0,211065.0,1.0
x[47],0.01,0.01,0.0,0.028,0.0,0.0,491358.0,211679.0,1.0
x[48],0.01,0.01,0.0,0.028,0.0,0.0,482721.0,209122.0,1.0
x[49],0.01,0.01,0.0,0.028,0.0,0.0,488104.0,211338.0,1.0
x[50],0.01,0.01,0.0,0.028,0.0,0.0,498985.0,212931.0,1.0
x[51],0.01,0.01,0.0,0.028,0.0,0.0,494339.0,210860.0,1.0
x[52],0.01,0.01,0.0,0.028,0.0,0.0,490828.0,208292.0,1.0
x[53],0.01,0.01,0.0,0.028,0.0,0.0,490015.0,214179.0,1.0
x[54],0.01,0.01,0.0,0.028,0.0,0.0,489114.0,211772.0,1.0
x[55],0.01,0.01,0.0,0.028,0.0,0.0,490423.0,215463.0,1.0
x[56],0.01,0.01,0.0,0.028,0.0,0.0,499735.0,212617.0,1.0
x[57],0.01,0.01,0.0,0.028,0.0,0.0,506310.0,218571.0,1.0
x[58],0.01,0.01,0.0,0.028,0.0,0.0,490882.0,211926.0,1.0
x[59],0.01,0.01,0.0,0.028,0.0,0.0,491203.0,214920.0,1.0
x[60],0.01,0.01,0.0,0.028,0.0,0.0,504135.0,217368.0,1.0
x[61],0.01,0.01,0.0,0.028,0.0,0.0,497448.0,211466.0,1.0
x[62],0.01,0.01,0.0,0.028,0.0,0.0,497247.0,209555.0,1.0
x[63],0.01,0.01,0.0,0.028,0.0,0.0,489279.0,211972.0,1.0
x[64],0.01,0.01,0.0,0.028,0.0,0.0,494550.0,211820.0,1.0
x[65],0.01,0.01,0.0,0.028,0.0,0.0,493121.0,209916.0,1.0
x[66],0.01,0.01,0.0,0.028,0.0,0.0,496798.0,216155.0,1.0
x[67],0.01,0.01,0.0,0.028,0.0,0.0,498099.0,213670.0,1.0
x[68],0.01,0.01,0.0,0.028,0.0,0.0,487382.0,209446.0,1.0
x[69],0.01,0.01,0.0,0.028,0.0,0.0,496091.0,209143.0,1.0
x[70],0.01,0.01,0.0,0.028,0.0,0.0,482713.0,206059.0,1.0
x[71],0.01,0.01,0.0,0.028,0.0,0.0,498590.0,215822.0,1.0
x[72],0.01,0.01,0.0,0.028,0.0,0.0,499028.0,216221.0,1.0
x[73],0.01,0.01,0.0,0.028,0.0,0.0,490750.0,212836.0,1.0
x[74],0.01,0.01,0.0,0.028,0.0,0.0,496318.0,213387.0,1.0
x[75],0.01,0.01,0.0,0.028,0.0,0.0,477055.0,208154.0,1.0
x[76],0.01,0.01,0.0,0.028,0.0,0.0,483500.0,211523.0,1.0
x[77],0.01,0.01,0.0,0.028,0.0,0.0,492278.0,216905.0,1.0
x[78],0.01,0.01,0.0,0.028,0.0,0.0,495324.0,210060.0,1.0
x[79],0.01,0.01,0.0,0.028,0.0,0.0,490374.0,211370.0,1.0
x[80],0.01,0.01,0.0,0.028,0.0,0.0,490703.0,212477.0,1.0
x[81],0.01,0.01,0.0,0.028,0.0,0.0,491386.0,214898.0,1.0
x[82],0.01,0.01,0.0,0.028,0.0,0.0,491623.0,213000.0,1.0
x[83],0.01,0.01,0.0,0.028,0.0,0.0,493570.0,212195.0,1.0
x[84],0.01,0.01,0.0,0.028,0.0,0.0,487002.0,210312.0,1.0
x[85],0.01,0.01,0.0,0.028,0.0,0.0,494229.0,211806.0,1.0
x[86],0.01,0.01,0.0,0.028,0.0,0.0,488821.0,210845.0,1.0
x[87],0.01,0.01,0.0,0.028,0.0,0.0,493628.0,213615.0,1.0
x[88],0.01,0.01,0.0,0.028,0.0,0.0,490040.0,215581.0,1.0
x[89],0.01,0.01,0.0,0.028,0.0,0.0,495122.0,213871.0,1.0
x[90],0.01,0.01,0.0,0.028,0.0,0.0,495843.0,214196.0,1.0
x[91],0.01,0.01,0.0,0.028,0.0,0.0,494274.0,214137.0,1.0
x[92],0.01,0.01,0.0,0.028,0.0,0.0,479160.0,210841.0,1.0
x[93],0.01,0.01,0.0,0.028,0.0,0.0,488934.0,209242.0,1.0
x[94],0.01,0.01,0.0,0.028,0.0,0.0,497440.0,213259.0,1.0
x[95],0.01,0.01,0.0,0.028,0.0,0.0,497257.0,210785.0,1.0
x[96],0.01,0.01,0.0,0.028,0.0,0.0,492244.0,213010.0,1.0
x[97],0.01,0.01,0.0,0.028,0.0,0.0,490263.0,210810.0,1.0
x[98],0.01,0.01,0.0,0.028,0.0,0.0,483571.0,210762.0,1.0
x[99],0.01,0.01,0.0,0.028,0.0,0.0,2985.0,2970.0,1.09
