,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
y[0],39338.437,28980.454,1977.35,95421.4,1406.725,995.389,431.0,466.0,3.98
y[1],39338.437,28980.454,1979.97,95424.1,1406.725,995.389,431.0,466.0,3.98
y[2],39338.437,28980.454,1979.75,95423.5,1406.725,995.389,431.0,466.0,3.98
y[3],39338.437,28980.454,1977.1,95421.3,1406.725,995.389,431.0,466.0,3.98
y[4],39338.436,28980.453,1980.15,95424.4,1406.725,995.389,431.0,466.0,3.98
y[5],39338.437,28980.454,1979.36,95423.9,1406.725,995.389,431.0,466.0,3.98
y[6],39338.436,28980.453,1980.12,95424.1,1406.725,995.389,431.0,466.0,3.98
y[7],39338.437,28980.455,1980.25,95424.5,1406.725,995.389,431.0,466.0,3.98
y[8],39338.437,28980.453,1978.06,95422.6,1406.725,995.389,431.0,466.0,3.98
y[9],39338.436,28980.455,1977.03,95421.4,1406.725,995.389,431.0,466.0,3.98
logr,39340.79,28980.453,1982.12,95426.4,1406.725,995.389,431.0,466.0,3.98
x[0],0.1,0.031,0.044,0.159,0.0,0.0,807496.0,297378.0,1.0
x[1],0.1,0.031,0.044,0.159,0.0,0.0,817767.0,295428.0,1.0
x[2],0.1,0.031,0.044,0.159,0.0,0.0,801190.0,296835.0,1.0
x[3],0.1,0.031,0.045,0.16,0.0,0.0,802323.0,297459.0,1.0
x[4],0.1,0.031,0.045,0.16,0.0,0.0,788052.0,291160.0,1.0
x[5],0.1,0.031,0.044,0.159,0.0,0.0,816098.0,294311.0,1.0
x[6],0.1,0.031,0.044,0.159,0.0,0.0,805037.0,290120.0,1.0
x[7],0.1,0.032,0.044,0.16,0.0,0.0,811925.0,290085.0,1.0
x[8],0.1,0.031,0.044,0.159,0.0,0.0,802471.0,291521.0,1.0
x[9],0.1,0.031,0.044,0.159,0.0,0.0,803255.0,293091.0,1.0
