,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
phi[0],1.482,0.046,1.399,1.562,0.0,0.0,580277.0,228382.0,1.0
phi[1],1.481,0.047,1.398,1.562,0.0,0.0,574968.0,229401.0,1.0
phi[2],1.481,0.047,1.397,1.562,0.0,0.0,587691.0,232535.0,1.0
phi[3],1.48,0.047,1.396,1.561,0.0,0.0,583590.0,228275.0,1.0
phi[4],1.48,0.047,1.395,1.562,0.0,0.0,575548.0,225051.0,1.0
phi[5],1.479,0.048,1.394,1.561,0.0,0.0,585371.0,230741.0,1.0
phi[6],1.479,0.048,1.393,1.561,0.0,0.0,587944.0,234967.0,1.0
phi[7],1.478,0.048,1.392,1.561,0.0,0.0,576552.0,232252.0,1.0
phi[8],1.478,0.048,1.392,1.562,0.0,0.0,580492.0,225874.0,1.0
phi[9],1.478,0.049,1.391,1.562,0.0,0.0,587920.0,230306.0,1.0
phi[10],1.477,0.049,1.389,1.561,0.0,0.0,588224.0,227609.0,1.0
phi[11],1.477,0.049,1.388,1.561,0.0,0.0,578907.0,230583.0,1.0
phi[12],1.476,0.05,1.385,1.56,0.0,0.0,595162.0,228970.0,1.0
phi[13],1.475,0.05,1.385,1.56,0.0,0.0,585229.0,231092.0,1.0
phi[14],1.475,0.05,1.385,1.561,0.0,0.0,583703.0,225445.0,1.0
phi[15],1.474,0.05,1.383,1.561,0.0,0.0,586186.0,227131.0,1.0
phi[16],1.474,0.051,1.383,1.561,0.0,0.0,591651.0,226353.0,1.0
phi[17],1.473,0.051,1.381,1.56,0.0,0.0,584384.0,229110.0,1.0
phi[18],1.473,0.051,1.381,1.562,0.0,0.0,576195.0,229780.0,1.0
phi[19],1.472,0.051,1.38,1.561,0.0,0.0,590968.0,230836.0,1.0
phi[20],1.471,0.052,1.378,1.56,0.0,0.0,581233.0,228037.0,1.0
phi[21],1.471,0.052,1.377,1.561,0.0,0.0,580474.0,228856.0,1.0
phi[22],1.47,0.053,1.375,1.56,0.0,0.0,588542.0,227037.0,1.0
phi[23],1.469,0.053,1.375,1.561,0.0,0.0,590025.0,232802.0,1.0
phi[24],1.469,0.053,1.373,1.56,0.0,0.0,593759.0,235662.0,1.0
phi[25],1.468,0.054,1.371,1.56,0.0,0.0,584185.0,230038.0,1.0
phi[26],1.467,0.054,1.37,1.56,0.0,0.0,578473.0,225829.0,1.0
phi[27],1.467,0.054,1.369,1.561,0.0,0.0,587042.0,227523.0,1.0
phi[28],1.466,0.055,1.368,1.561,0.0,0.0,583231.0,229796.0,1.0
phi[29],1.465,0.055,1.366,1.56,0.0,0.0,597231.0,233185.0,1.0
phi[30],1.464,0.056,1.365,1.56,0.0,0.0,590910.0,229783.0,1.0
phi[31],1.463,0.056,1.363,1.56,0.0,0.0,585441.0,226261.0,1.0
phi[32],1.463,0.056,1.362,1.56,0.0,0.0,594230.0,231936.0,1.0
phi[33],1.462,0.057,1.361,1.56,0.0,0.0,589604.0,229650.0,1.0
phi[34],1.461,0.057,1.358,1.56,0.0,0.0,596682.0,230966.0,1.0
phi[35],1.46,0.057,1.357,1.56,0.0,0.0,593619.0,232191.0,1.0
phi[36],1.459,0.058,1.355,1.559,0.0,0.0,599693.0,233168.0,1.0
phi[37],1.458,0.059,1.352,1.559,0.0,0.0,594049.0,228937.0,1.0
phi[38],1.458,0.059,1.351,1.558,0.0,0.0,605810.0,231627.0,1.0
phi[39],1.457,0.059,1.349,1.559,0.0,0.0,587284.0,227954.0,1.0
phi[40],1.456,0.06,1.346,1.558,0.0,0.0,589928.0,231728.0,1.0
phi[41],1.455,0.06,1.344,1.557,0.0,0.0,596706.0,232720.0,1.0
phi[42],1.454,0.061,1.344,1.559,0.0,0.0,599466.0,231810.0,1.0
phi[43],1.453,0.062,1.342,1.559,0.0,0.0,587864.0,231449.0,1.0
phi[44],1.452,0.062,1.339,1.557,0.0,0.0,593419.0,227372.0,1.0
phi[45],1.451,0.063,1.337,1.558,0.0,0.0,591597.0,228598.0,1.0
phi[46],1.449,0.063,1.335,1.558,0.0,0.0,594196.0,227097.0,1.0
phi[47],1.448,0.064,1.332,1.557,0.0,0.0,591282.0,225284.0,1.0
phi[48],1.447,0.064,1.33,1.557,0.0,0.0,595598.0,230914.0,1.0
phi[49],1.446,0.065,1.329,1.558,0.0,0.0,595016.0,231202.0,1.0
phi[50],1.444,0.066,1.325,1.557,0.0,0.0,600741.0,229640.0,1.0
phi[51],1.443,0.066,1.324,1.558,0.0,0.0,603163.0,229571.0,1.0
phi[52],1.442,0.067,1.321,1.557,0.0,0.0,596294.0,233607.0,1.0
phi[53],1.441,0.068,1.318,1.558,0.0,0.0,614887.0,232677.0,1.0
phi[54],1.439,0.068,1.315,1.556,0.0,0.0,602932.0,231886.0,1.0
phi[55],1.438,0.069,1.314,1.558,0.0,0.0,610613.0,233158.0,1.0
phi[56],1.436,0.07,1.31,1.558,0.0,0.0,600463.0,230443.0,1.0
phi[57],1.435,0.071,1.308,1.557,0.0,0.0,608236.0,231236.0,1.0
phi[58],1.433,0.072,1.303,1.556,0.0,0.0,595717.0,230597.0,1.0
phi[59],1.431,0.072,1.3,1.556,0.0,0.0,593166.0,229640.0,1.0
phi[60],1.429,0.074,1.298,1.557,0.0,0.0,612920.0,232434.0,1.0
phi[61],1.427,0.075,1.293,1.555,0.0,0.0,610044.0,232667.0,1.0
phi[62],1.426,0.075,1.292,1.557,0.0,0.0,606965.0,233753.0,1.0
phi[63],1.424,0.076,1.286,1.555,0.0,0.0,612595.0,231658.0,1.0
phi[64],1.422,0.078,1.282,1.555,0.0,0.0,615480.0,228824.0,1.0
phi[65],1.419,0.079,1.277,1.555,0.0,0.0,608567.0,232556.0,1.0
phi[66],1.417,0.08,1.273,1.555,0.0,0.0,616060.0,228153.0,1.0
phi[67],1.415,0.081,1.268,1.554,0.0,0.0,620999.0,234434.0,1.0
phi[68],1.412,0.083,1.264,1.554,0.0,0.0,615329.0,230100.0,1.0
phi[69],1.41,0.084,1.259,1.554,0.0,0.0,612718.0,232434.0,1.0
phi[70],1.407,0.085,1.253,1.553,0.0,0.0,614422.0,231725.0,1.0
phi[71],1.404,0.086,1.249,1.553,0.0,0.0,606677.0,227655.0,1.0
