,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
x[0],0.001,0.0,0.0,0.002,0.0,0.0,598609.0,266926.0,1.0
x[1],0.001,0.0,0.0,0.002,0.0,0.0,577670.0,266385.0,1.0
x[2],0.001,0.0,0.0,0.002,0.0,0.0,582905.0,263949.0,1.0
x[3],0.001,0.0,0.0,0.002,0.0,0.0,584354.0,269749.0,1.0
x[4],0.001,0.0,0.0,0.002,0.0,0.0,584764.0,266835.0,1.0
x[5],0.001,0.0,0.0,0.002,0.0,0.0,588686.0,269945.0,1.0
x[6],0.001,0.0,0.0,0.002,0.0,0.0,590269.0,268880.0,1.0
x[7],0.001,0.0,0.0,0.002,0.0,0.0,582925.0,270675.0,1.0
x[8],0.001,0.0,0.0,0.002,0.0,0.0,576374.0,270163.0,1.0
x[9],0.001,0.0,0.0,0.002,0.0,0.0,590361.0,269781.0,1.0
x[10],0.001,0.0,0.0,0.002,0.0,0.0,589807.0,269930.0,1.0
x[11],0.001,0.0,0.0,0.002,0.0,0.0,577721.0,266094.0,1.0
x[12],0.001,0.0,0.0,0.002,0.0,0.0,572804.0,267359.0,1.0
x[13],0.001,0.0,0.0,0.002,0.0,0.0,597124.0,266234.0,1.0
x[14],0.001,0.0,0.0,0.002,0.0,0.0,591356.0,267138.0,1.0
x[15],0.001,0.0,0.0,0.002,0.0,0.0,601424.0,268868.0,1.0
x[16],0.001,0.0,0.0,0.002,0.0,0.0,589664.0,270394.0,1.0
x[17],0.001,0.0,0.0,0.002,0.0,0.0,580963.0,269362.0,1.0
x[18],0.001,0.0,0.0,0.002,0.0,0.0,586728.0,269010.0,1.0
x[19],0.001,0.0,0.0,0.002,0.0,0.0,582886.0,271735.0,1.0
x[20],0.001,0.0,0.0,0.002,0.0,0.0,583235.0,269702.0,1.0
x[21],0.001,0.0,0.0,0.002,0.0,0.0,582978.0,267485.0,1.0
x[22],0.001,0.0,0.0,0.002,0.0,0.0,586621.0,273881.0,1.0
x[23],0.001,0.0,0.0,0.002,0.0,0.0,586090.0,269617.0,1.0
x[24],0.001,0.0,0.0,0.002,0.0,0.0,578102.0,267086.0,1.0
x[25],0.001,0.0,0.0,0.002,0.0,0.0,599393.0,272250.0,1.0
x[26],0.001,0.0,0.0,0.002,0.0,0.0,578136.0,270662.0,1.0
x[27],0.001,0.0,0.0,0.002,0.0,0.0,587997.0,271671.0,1.0
x[28],0.001,0.0,0.0,0.002,0.0,0.0,581014.0,270463.0,1.0
x[29],0.001,0.0,0.0,0.002,0.0,0.0,590879.0,269105.0,1.0
x[30],0.001,0.0,0.0,0.002,0.0,0.0,587481.0,268281.0,1.0
x[31],0.001,0.0,0.0,0.002,0.0,0.0,595183.0,270017.0,1.0
x[32],0.001,0.0,0.0,0.002,0.0,0.0,596391.0,270596.0,1.0
x[33],0.001,0.0,0.0,0.002,0.0,0.0,582765.0,267154.0,1.0
x[34],0.001,0.0,0.0,0.002,0.0,0.0,577421.0,270819.0,1.0
x[35],0.001,0.0,0.0,0.002,0.0,0.0,583765.0,267542.0,1.0
x[36],0.001,0.0,0.0,0.002,0.0,0.0,577278.0,271387.0,1.0
x[37],0.001,0.0,0.0,0.002,0.0,0.0,572784.0,266192.0,1.0
x[38],0.001,0.0,0.0,0.002,0.0,0.0,583164.0,267818.0,1.0
x[39],0.001,0.0,0.0,0.002,0.0,0.0,580843.0,268360.0,1.0
x[40],0.001,0.0,0.0,0.002,0.0,0.0,582887.0,271715.0,1.0
x[41],0.001,0.0,0.0,0.002,0.0,0.0,591964.0,266790.0,1.0
x[42],0.001,0.0,0.0,0.002,0.0,0.0,590938.0,264836.0,1.0
x[43],0.001,0.0,0.0,0.002,0.0,0.0,591421.0,272148.0,1.0
