25, HypersphericalLogit, dirsym_e-1_100dims
25, NormalizedExponential, dirsym_e-1_100dims
25, ALR, dirsym_e-1_100dims
25, ProbitProduct, dirsym_e-1_100dims
25, HypersphericalAngular, dirsym_e-1_100dims
25, Stickbreaking, dirsym_e-1_100dims
25, HypersphericalProbit, dirsym_e-1_100dims
25, StanStickbreaking, dirsym_e-1_100dims
25, AugmentedILR, dirsym_e-1_100dims
25, AugmentedSoftmax, dirsym_e-1_100dims
25, HypersphericalLogit, logitnormal_rho95e-2_scaleunit_100dims
25, NormalizedExponential, logitnormal_rho95e-2_scaleunit_100dims
25, ALR, logitnormal_rho95e-2_scaleunit_100dims
25, ProbitProduct, logitnormal_rho95e-2_scaleunit_100dims
25, HypersphericalAngular, logitnormal_rho95e-2_scaleunit_100dims
25, Stickbreaking, logitnormal_rho95e-2_scaleunit_100dims
25, HypersphericalProbit, logitnormal_rho95e-2_scaleunit_100dims
25, StanStickbreaking, logitnormal_rho95e-2_scaleunit_100dims
25, AugmentedILR, logitnormal_rho95e-2_scaleunit_100dims
25, AugmentedSoftmax, logitnormal_rho95e-2_scaleunit_100dims
25, HypersphericalLogit, dirsym_10_1000dims
25, NormalizedExponential, dirsym_10_1000dims
25, ALR, dirsym_10_1000dims
1, ProbitProduct, dirsym_10_1000dims
1, HypersphericalAngular, dirsym_10_1000dims
25, Stickbreaking, dirsym_10_1000dims
25, HypersphericalProbit, dirsym_10_1000dims
25, StanStickbreaking, dirsym_10_1000dims
25, AugmentedILR, dirsym_10_1000dims
25, AugmentedSoftmax, dirsym_10_1000dims
25, HypersphericalLogit, logitnormal_rho5e-1_scalevar_reverse_10dims
25, NormalizedExponential, logitnormal_rho5e-1_scalevar_reverse_10dims
25, ALR, logitnormal_rho5e-1_scalevar_reverse_10dims
25, ProbitProduct, logitnormal_rho5e-1_scalevar_reverse_10dims
25, HypersphericalAngular, logitnormal_rho5e-1_scalevar_reverse_10dims
25, Stickbreaking, logitnormal_rho5e-1_scalevar_reverse_10dims
25, HypersphericalProbit, logitnormal_rho5e-1_scalevar_reverse_10dims
25, StanStickbreaking, logitnormal_rho5e-1_scalevar_reverse_10dims
25, AugmentedILR, logitnormal_rho5e-1_scalevar_reverse_10dims
25, AugmentedSoftmax, logitnormal_rho5e-1_scalevar_reverse_10dims
25, HypersphericalLogit, asymdir_1to10_10dims
27, NormalizedExponential, asymdir_1to10_10dims
25, ALR, asymdir_1to10_10dims
25, ProbitProduct, asymdir_1to10_10dims
25, HypersphericalAngular, asymdir_1to10_10dims
25, Stickbreaking, asymdir_1to10_10dims
25, HypersphericalProbit, asymdir_1to10_10dims
27, StanStickbreaking, asymdir_1to10_10dims
25, AugmentedILR, asymdir_1to10_10dims
25, AugmentedSoftmax, asymdir_1to10_10dims
25, HypersphericalLogit, asymdir_1toe-1_10dims
25, NormalizedExponential, asymdir_1toe-1_10dims
25, ALR, asymdir_1toe-1_10dims
25, ProbitProduct, asymdir_1toe-1_10dims
25, HypersphericalAngular, asymdir_1toe-1_10dims
25, Stickbreaking, asymdir_1toe-1_10dims
25, HypersphericalProbit, asymdir_1toe-1_10dims
25, StanStickbreaking, asymdir_1toe-1_10dims
25, AugmentedILR, asymdir_1toe-1_10dims
25, AugmentedSoftmax, asymdir_1toe-1_10dims
25, HypersphericalLogit, dirsym_1_100dims
25, NormalizedExponential, dirsym_1_100dims
25, ALR, dirsym_1_100dims
25, ProbitProduct, dirsym_1_100dims
25, HypersphericalAngular, dirsym_1_100dims
25, Stickbreaking, dirsym_1_100dims
25, HypersphericalProbit, dirsym_1_100dims
25, StanStickbreaking, dirsym_1_100dims
25, AugmentedILR, dirsym_1_100dims
25, AugmentedSoftmax, dirsym_1_100dims
25, HypersphericalLogit, logitnormal_rho95e-2_scaleunit_10dims
25, NormalizedExponential, logitnormal_rho95e-2_scaleunit_10dims
25, ALR, logitnormal_rho95e-2_scaleunit_10dims
25, ProbitProduct, logitnormal_rho95e-2_scaleunit_10dims
