,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
y[0],0.003,0.458,-0.86,0.865,0.004,0.003,15119.0,29719.0,1.02
y[1],0.002,0.458,-0.86,0.862,0.004,0.003,14613.0,28162.0,1.02
y[2],0.003,0.456,-0.862,0.859,0.004,0.003,15896.0,28784.0,1.02
y[3],0.004,0.456,-0.853,0.869,0.004,0.003,15471.0,28287.0,1.02
y[4],0.003,0.457,-0.87,0.85,0.004,0.003,15691.0,28681.0,1.02
y[5],0.003,0.456,-0.87,0.85,0.004,0.003,14842.0,29035.0,1.02
y[6],0.003,0.457,-0.863,0.857,0.004,0.003,15293.0,29234.0,1.02
y[7],0.003,0.457,-0.854,0.868,0.004,0.003,15142.0,30958.0,1.02
y[8],0.002,0.457,-0.857,0.864,0.004,0.003,15154.0,30449.0,1.02
y[9],0.002,0.458,-0.853,0.871,0.004,0.003,15791.0,28462.0,1.02
y[10],0.003,0.456,-0.86,0.86,0.004,0.003,15415.0,31022.0,1.02
y[11],0.003,0.457,-0.864,0.856,0.004,0.003,15174.0,30816.0,1.02
y[12],0.002,0.457,-0.85,0.872,0.004,0.003,14949.0,27045.0,1.02
y[13],0.003,0.457,-0.854,0.872,0.004,0.003,15666.0,28759.0,1.02
y[14],0.003,0.456,-0.855,0.867,0.004,0.003,15442.0,29305.0,1.02
y[15],0.002,0.457,-0.851,0.875,0.004,0.003,15165.0,29880.0,1.02
y[16],0.003,0.458,-0.861,0.868,0.004,0.003,15565.0,30131.0,1.02
y[17],0.003,0.456,-0.862,0.858,0.004,0.003,15430.0,26702.0,1.02
y[18],0.003,0.457,-0.862,0.861,0.004,0.003,15266.0,28770.0,1.02
y[19],0.003,0.456,-0.862,0.861,0.004,0.003,14694.0,27771.0,1.02
y[20],0.003,0.456,-0.869,0.851,0.004,0.003,15506.0,29849.0,1.02
y[21],0.003,0.457,-0.86,0.858,0.004,0.003,15048.0,28269.0,1.02
y[22],0.002,0.457,-0.862,0.863,0.004,0.003,16090.0,30520.0,1.02
y[23],0.003,0.456,-0.858,0.859,0.004,0.003,15594.0,29971.0,1.02
y[24],0.002,0.458,-0.858,0.868,0.004,0.003,15552.0,28360.0,1.02
y[25],0.003,0.456,-0.857,0.859,0.004,0.003,15710.0,29660.0,1.02
y[26],0.002,0.457,-0.859,0.864,0.004,0.003,14968.0,30691.0,1.02
y[27],0.003,0.456,-0.858,0.862,0.004,0.003,15165.0,29585.0,1.02
y[28],0.003,0.456,-0.859,0.862,0.004,0.003,14992.0,31689.0,1.02
y[29],0.002,0.457,-0.85,0.871,0.004,0.003,16069.0,30753.0,1.02
y[30],0.003,0.458,-0.86,0.867,0.004,0.003,14320.0,30690.0,1.02
y[31],0.003,0.456,-0.861,0.86,0.004,0.003,14992.0,27244.0,1.02
y[32],0.003,0.456,-0.85,0.869,0.004,0.003,15574.0,29081.0,1.02
y[33],0.004,0.457,-0.852,0.869,0.004,0.003,16002.0,30027.0,1.02
y[34],0.003,0.457,-0.86,0.863,0.004,0.003,15509.0,26980.0,1.02
y[35],0.003,0.457,-0.865,0.861,0.004,0.003,14681.0,34254.0,1.02
y[36],0.002,0.457,-0.861,0.86,0.004,0.003,15604.0,29124.0,1.02
y[37],0.003,0.457,-0.868,0.852,0.004,0.003,16429.0,30485.0,1.02
y[38],0.003,0.456,-0.844,0.876,0.004,0.003,15486.0,28697.0,1.02
y[39],0.003,0.456,-0.853,0.866,0.004,0.003,15114.0,29803.0,1.02
y[40],0.003,0.457,-0.87,0.855,0.004,0.003,16284.0,31180.0,1.02
y[41],0.003,0.457,-0.857,0.865,0.004,0.003,15089.0,29810.0,1.02
y[42],0.003,0.457,-0.854,0.869,0.004,0.003,15915.0,29550.0,1.02
y[43],0.003,0.458,-0.86,0.866,0.004,0.003,15206.0,29422.0,1.02
y[44],0.003,0.457,-0.858,0.866,0.004,0.003,15041.0,29314.0,1.02
y[45],0.003,0.457,-0.866,0.858,0.004,0.003,14625.0,29746.0,1.02
y[46],0.003,0.457,-0.859,0.866,0.004,0.003,15176.0,28921.0,1.02
y[47],0.003,0.455,-0.858,0.861,0.004,0.003,15087.0,32976.0,1.02
y[48],0.003,0.458,-0.856,0.868,0.004,0.003,14732.0,27832.0,1.02
y[49],0.003,0.456,-0.856,0.866,0.004,0.003,15186.0,28133.0,1.02
y[50],0.003,0.457,-0.854,0.868,0.004,0.003,15511.0,28635.0,1.02
y[51],0.004,0.456,-0.861,0.857,0.004,0.003,14954.0,29829.0,1.02
y[52],0.003,0.457,-0.852,0.868,0.004,0.003,15355.0,29767.0,1.02
y[53],0.003,0.456,-0.851,0.869,0.004,0.003,15134.0,30353.0,1.02
y[54],0.003,0.457,-0.848,0.877,0.004,0.003,15616.0,30023.0,1.02
y[55],0.002,0.457,-0.859,0.866,0.004,0.003,15465.0,27921.0,1.02
y[56],0.003,0.456,-0.86,0.863,0.004,0.003,15415.0,35120.0,1.02
y[57],0.003,0.457,-0.856,0.871,0.004,0.003,15293.0,31558.0,1.02
y[58],0.003,0.456,-0.867,0.854,0.004,0.003,15214.0,28775.0,1.02
y[59],0.003,0.455,-0.859,0.855,0.004,0.003,15534.0,28669.0,1.02
y[60],0.002,0.457,-0.847,0.878,0.004,0.003,15786.0,29515.0,1.02
y[61],0.003,0.457,-0.851,0.874,0.004,0.003,14989.0,27429.0,1.02
y[62],0.004,0.456,-0.848,0.874,0.004,0.003,14979.0,28185.0,1.02
y[63],0.003,0.457,-0.852,0.87,0.004,0.003,15401.0,29789.0,1.02
y[64],0.003,0.456,-0.852,0.867,0.004,0.003,14789.0,27018.0,1.02
y[65],0.003,0.457,-0.849,0.872,0.004,0.003,15061.0,29435.0,1.02
y[66],0.003,0.457,-0.861,0.865,0.004,0.003,14610.0,26761.0,1.02
y[67],0.003,0.457,-0.867,0.856,0.004,0.003,15774.0,28120.0,1.02
y[68],0.002,0.456,-0.851,0.871,0.004,0.003,14680.0,26096.0,1.02
y[69],0.002,0.456,-0.862,0.859,0.004,0.003,15055.0,29230.0,1.02
y[70],0.003,0.457,-0.862,0.864,0.004,0.003,15681.0,30315.0,1.02
y[71],0.004,0.456,-0.855,0.866,0.004,0.003,15316.0,31076.0,1.02
y[72],0.003,0.457,-0.866,0.857,0.004,0.003,14854.0,30099.0,1.02
y[73],0.002,0.457,-0.854,0.866,0.004,0.003,15833.0,29451.0,1.02
y[74],0.002,0.456,-0.855,0.861,0.004,0.003,14995.0,28802.0,1.02
y[75],0.003,0.457,-0.867,0.858,0.004,0.003,15996.0,26463.0,1.02
y[76],0.003,0.457,-0.863,0.861,0.004,0.003,14728.0,29549.0,1.02
y[77],0.003,0.456,-0.858,0.864,0.004,0.003,14861.0,29345.0,1.02
y[78],0.003,0.456,-0.85,0.865,0.004,0.003,15680.0,30515.0,1.02
y[79],0.003,0.456,-0.87,0.853,0.004,0.003,15262.0,28398.0,1.02
y[80],0.004,0.456,-0.856,0.865,0.004,0.003,16007.0,29730.0,1.02
y[81],0.003,0.457,-0.866,0.857,0.004,0.003,15347.0,28550.0,1.02
y[82],0.004,0.457,-0.855,0.869,0.004,0.003,14519.0,27727.0,1.02
y[83],0.003,0.456,-0.876,0.846,0.004,0.003,15180.0,28504.0,1.02
y[84],0.003,0.458,-0.849,0.877,0.004,0.003,14902.0,26939.0,1.02
y[85],0.002,0.456,-0.86,0.861,0.004,0.003,15563.0,30335.0,1.02
y[86],0.003,0.457,-0.864,0.858,0.004,0.003,15207.0,29740.0,1.02
y[87],0.003,0.457,-0.866,0.858,0.004,0.003,15157.0,28954.0,1.02
y[88],0.002,0.457,-0.854,0.867,0.004,0.003,15894.0,31327.0,1.02
y[89],0.002,0.456,-0.863,0.855,0.004,0.003,15179.0,31864.0,1.02
y[90],0.003,0.457,-0.843,0.878,0.004,0.003,15359.0,28711.0,1.02
y[91],0.002,0.457,-0.85,0.871,0.004,0.003,14787.0,28497.0,1.02
y[92],0.003,0.457,-0.858,0.863,0.004,0.003,15353.0,30161.0,1.02
y[93],0.002,0.456,-0.864,0.855,0.004,0.003,14914.0,27140.0,1.02
y[94],0.003,0.457,-0.873,0.853,0.004,0.003,15151.0,30261.0,1.02
y[95],0.003,0.456,-0.853,0.867,0.004,0.003,15863.0,29733.0,1.02
y[96],0.003,0.456,-0.86,0.862,0.004,0.003,15283.0,28731.0,1.02
y[97],0.003,0.457,-0.862,0.859,0.004,0.003,15100.0,29298.0,1.02
y[98],0.003,0.456,-0.845,0.876,0.004,0.003,15084.0,29987.0,1.02
x[0],0.01,0.003,0.004,0.016,0.0,0.0,634811.0,272881.0,1.0
x[1],0.01,0.003,0.004,0.016,0.0,0.0,623800.0,269805.0,1.0
x[2],0.01,0.003,0.004,0.016,0.0,0.0,631194.0,273234.0,1.0
x[3],0.01,0.003,0.004,0.016,0.0,0.0,637636.0,277672.0,1.0
x[4],0.01,0.003,0.004,0.016,0.0,0.0,630017.0,276334.0,1.0
x[5],0.01,0.003,0.004,0.016,0.0,0.0,617554.0,274214.0,1.0
x[6],0.01,0.003,0.004,0.016,0.0,0.0,633244.0,274830.0,1.0
x[7],0.01,0.003,0.004,0.016,0.0,0.0,631248.0,274359.0,1.0
x[8],0.01,0.003,0.004,0.016,0.0,0.0,623327.0,273553.0,1.0
