,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
y[0],0.0,0.324,-0.612,0.611,0.0,0.001,646370.0,292460.0,1.0
y[1],0.0,0.324,-0.61,0.61,0.0,0.001,660152.0,288184.0,1.0
y[2],0.0,0.325,-0.631,0.59,0.0,0.001,673140.0,282934.0,1.0
y[3],-0.0,0.325,-0.613,0.606,0.0,0.001,681132.0,279025.0,1.0
y[4],0.0,0.325,-0.624,0.594,0.0,0.001,676721.0,285067.0,1.0
y[5],0.0,0.324,-0.607,0.607,0.0,0.001,686584.0,278884.0,1.0
y[6],0.0,0.324,-0.621,0.593,0.0,0.001,692237.0,278635.0,1.0
y[7],-0.0,0.324,-0.615,0.599,0.0,0.001,694928.0,278805.0,1.0
y[8],0.0,0.325,-0.62,0.596,0.0,0.001,684244.0,277330.0,1.0
y[9],0.0,0.324,-0.61,0.599,0.0,0.001,691315.0,280426.0,1.0
y[10],-0.0,0.325,-0.619,0.598,0.0,0.001,701028.0,281693.0,1.0
y[11],0.0,0.325,-0.606,0.611,0.0,0.001,696731.0,279757.0,1.0
y[12],0.0,0.325,-0.62,0.596,0.0,0.001,682771.0,274618.0,1.0
y[13],-0.0,0.325,-0.623,0.592,0.0,0.001,699444.0,274165.0,1.0
y[14],-0.0,0.325,-0.613,0.603,0.0,0.001,684830.0,271986.0,1.0
y[15],0.001,0.324,-0.618,0.598,0.0,0.001,691295.0,280490.0,1.0
y[16],-0.0,0.325,-0.619,0.596,0.0,0.001,705316.0,280005.0,1.0
y[17],0.0,0.324,-0.619,0.594,0.0,0.001,694934.0,275985.0,1.0
y[18],0.0,0.325,-0.61,0.604,0.0,0.001,706176.0,270774.0,1.0
y[19],-0.001,0.325,-0.612,0.601,0.0,0.001,705040.0,269816.0,1.0
y[20],0.0,0.325,-0.622,0.594,0.0,0.001,685680.0,276042.0,1.0
y[21],-0.0,0.325,-0.604,0.612,0.0,0.001,704204.0,276777.0,1.0
y[22],-0.0,0.323,-0.612,0.598,0.0,0.001,687671.0,278733.0,1.0
y[23],0.001,0.324,-0.607,0.602,0.0,0.001,698716.0,275094.0,1.0
y[24],0.001,0.324,-0.606,0.607,0.0,0.001,698554.0,278929.0,1.0
y[25],-0.0,0.325,-0.609,0.607,0.0,0.001,701509.0,275983.0,1.0
y[26],-0.0,0.326,-0.626,0.591,0.0,0.001,700982.0,271950.0,1.0
y[27],0.001,0.324,-0.618,0.593,0.0,0.001,707573.0,275854.0,1.0
y[28],-0.0,0.324,-0.611,0.599,0.0,0.001,700545.0,274642.0,1.0
y[29],0.0,0.324,-0.62,0.593,0.0,0.001,686863.0,272501.0,1.0
y[30],-0.0,0.326,-0.622,0.596,0.0,0.001,710524.0,276965.0,1.0
y[31],-0.0,0.324,-0.619,0.594,0.0,0.001,706824.0,277299.0,1.0
y[32],0.001,0.326,-0.618,0.6,0.0,0.001,715331.0,278445.0,1.0
y[33],-0.0,0.324,-0.609,0.601,0.0,0.001,706069.0,281553.0,1.0
y[34],-0.0,0.324,-0.611,0.602,0.0,0.001,706964.0,274086.0,1.0
y[35],-0.0,0.324,-0.612,0.6,0.0,0.001,702399.0,274924.0,1.0
y[36],0.0,0.324,-0.614,0.598,0.0,0.001,692796.0,278070.0,1.0
y[37],0.0,0.324,-0.617,0.592,0.0,0.001,704194.0,276628.0,1.0
y[38],-0.0,0.325,-0.625,0.588,0.0,0.001,694668.0,273043.0,1.0
y[39],0.0,0.325,-0.615,0.597,0.0,0.001,699894.0,274623.0,1.0
y[40],-0.0,0.325,-0.609,0.607,0.0,0.001,701370.0,272841.0,1.0
y[41],0.001,0.325,-0.616,0.599,0.0,0.001,713084.0,274683.0,1.0
y[42],0.001,0.324,-0.615,0.596,0.0,0.001,704620.0,277699.0,1.0
