,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
y[0],1.636,0.744,0.335,3.04,0.001,0.001,583656.0,242914.0,1.0
y[1],1.563,0.752,0.243,2.986,0.001,0.001,606549.0,251035.0,1.0
y[2],1.48,0.761,0.133,2.922,0.001,0.001,602800.0,247074.0,1.0
y[3],1.382,0.773,0.032,2.866,0.001,0.001,607621.0,247426.0,1.0
y[4],1.264,0.786,-0.115,2.777,0.001,0.001,620439.0,253452.0,1.0
y[5],1.114,0.809,-0.341,2.651,0.001,0.001,641459.0,258133.0,1.0
y[6],0.913,0.845,-0.618,2.527,0.001,0.001,663800.0,257391.0,1.0
y[7],0.606,0.905,-1.083,2.322,0.001,0.001,700429.0,275083.0,1.0
y[8],-0.002,1.094,-2.102,2.058,0.001,0.002,718557.0,287673.0,1.0
x[0],0.1,0.09,0.0,0.267,0.0,0.0,583656.0,242914.0,1.0
x[1],0.1,0.091,0.0,0.269,0.0,0.0,603402.0,250464.0,1.0
x[2],0.1,0.091,0.0,0.269,0.0,0.0,597430.0,247851.0,1.0
x[3],0.1,0.09,0.0,0.268,0.0,0.0,595278.0,248545.0,1.0
x[4],0.1,0.09,0.0,0.268,0.0,0.0,595185.0,256677.0,1.0
x[5],0.1,0.09,0.0,0.269,0.0,0.0,604581.0,262773.0,1.0
x[6],0.1,0.091,0.0,0.269,0.0,0.0,604422.0,260427.0,1.0
x[7],0.1,0.09,0.0,0.268,0.0,0.0,601981.0,282757.0,1.0
x[8],0.1,0.091,0.0,0.269,0.0,0.0,577132.0,304532.0,1.0
x[9],0.1,0.09,0.0,0.268,0.0,0.0,577202.0,305984.0,1.0
log_det_jacobian,-23.551,2.343,-27.879,-19.672,0.006,0.004,161081.0,239208.0,1.0
