,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
y[0],-0.258,0.306,-0.829,0.319,0.0,0.0,745644.0,313847.0,1.0
y[1],-0.253,0.304,-0.83,0.314,0.0,0.0,753650.0,317024.0,1.0
y[2],-0.246,0.303,-0.815,0.326,0.0,0.0,746319.0,318226.0,1.0
y[3],-0.237,0.303,-0.797,0.342,0.0,0.0,732028.0,316601.0,1.0
y[4],-0.225,0.301,-0.784,0.35,0.0,0.0,739823.0,315382.0,1.0
y[5],-0.207,0.301,-0.769,0.361,0.0,0.0,743271.0,313653.0,1.0
y[6],-0.179,0.298,-0.736,0.385,0.0,0.0,741708.0,314463.0,1.0
y[7],-0.126,0.294,-0.676,0.426,0.0,0.0,751253.0,313677.0,1.0
y[8],0.001,0.285,-0.535,0.537,0.0,0.0,734969.0,312924.0,1.0
x[0],0.1,0.03,0.047,0.156,0.0,0.0,745644.0,313847.0,1.0
x[1],0.1,0.03,0.047,0.156,0.0,0.0,741740.0,318215.0,1.0
x[2],0.1,0.03,0.047,0.157,0.0,0.0,746063.0,317483.0,1.0
x[3],0.1,0.03,0.046,0.156,0.0,0.0,727291.0,316577.0,1.0
x[4],0.1,0.03,0.047,0.157,0.0,0.0,735732.0,316656.0,1.0
x[5],0.1,0.03,0.047,0.157,0.0,0.0,739850.0,316394.0,1.0
x[6],0.1,0.03,0.046,0.156,0.0,0.0,734843.0,315576.0,1.0
x[7],0.1,0.03,0.047,0.156,0.0,0.0,721670.0,317726.0,1.0
x[8],0.1,0.03,0.047,0.156,0.0,0.0,706285.0,319122.0,1.0
x[9],0.1,0.03,0.047,0.157,0.0,0.0,708127.0,317161.0,1.0
log_det_jacobian,-21.671,0.268,-22.163,-21.216,0.0,0.0,300758.0,327694.0,1.0
