,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
y[0],1.301,0.173,0.98,1.629,0.0,0.0,749605.0,307915.0,1.0
y[1],1.24,0.177,0.913,1.577,0.0,0.0,756769.0,305736.0,1.0
y[2],1.169,0.181,0.829,1.51,0.0,0.0,744432.0,306106.0,1.0
y[3],1.086,0.188,0.74,1.446,0.0,0.0,756166.0,304657.0,1.0
y[4],0.986,0.195,0.621,1.352,0.0,0.0,750648.0,309284.0,1.0
y[5],0.859,0.205,0.477,1.248,0.0,0.0,760260.0,310101.0,1.0
y[6],0.69,0.218,0.285,1.104,0.0,0.0,757308.0,313905.0,1.0
y[7],0.443,0.239,-0.002,0.895,0.0,0.0,760377.0,310969.0,1.0
y[8],0.0,0.285,-0.539,0.532,0.0,0.0,758094.0,313084.0,1.0
x[0],0.1,0.03,0.046,0.156,0.0,0.0,749605.0,307915.0,1.0
x[1],0.1,0.03,0.047,0.156,0.0,0.0,757369.0,306278.0,1.0
x[2],0.1,0.03,0.047,0.157,0.0,0.0,745804.0,306055.0,1.0
x[3],0.1,0.03,0.046,0.156,0.0,0.0,754602.0,306668.0,1.0
x[4],0.1,0.03,0.047,0.157,0.0,0.0,745925.0,308954.0,1.0
x[5],0.1,0.03,0.047,0.156,0.0,0.0,749016.0,313186.0,1.0
x[6],0.1,0.03,0.047,0.156,0.0,0.0,736327.0,316715.0,1.0
x[7],0.1,0.03,0.047,0.156,0.0,0.0,741517.0,320126.0,1.0
x[8],0.1,0.03,0.047,0.157,0.0,0.0,726689.0,315884.0,1.0
x[9],0.1,0.03,0.047,0.157,0.0,0.0,735265.0,320038.0,1.0
log_det_jacobian,-18.216,0.219,-18.622,-17.855,0.0,0.0,224756.0,307620.0,1.0
