,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
x[0],0.099,0.212,0.0,0.594,0.0,0.0,153045.0,107297.0,1.0
x[1],0.1,0.213,0.0,0.597,0.0,0.0,154323.0,108144.0,1.0
x[2],0.1,0.212,0.0,0.593,0.0,0.0,157556.0,114614.0,1.0
x[3],0.1,0.212,0.0,0.593,0.0,0.0,160528.0,111894.0,1.0
x[4],0.101,0.213,0.0,0.597,0.0,0.0,163998.0,114439.0,1.0
x[5],0.1,0.212,0.0,0.594,0.0,0.0,171148.0,117018.0,1.0
x[6],0.1,0.212,0.0,0.593,0.0,0.0,182620.0,125784.0,1.0
x[7],0.1,0.212,0.0,0.594,0.0,0.0,201090.0,137327.0,1.0
x[8],0.099,0.211,0.0,0.588,0.0,0.0,233229.0,168359.0,1.0
x[9],0.101,0.213,0.0,0.598,0.0,0.0,265169.0,196243.0,1.0
