,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
y[0],-0.0,0.325,-0.606,0.621,0.0,0.001,590624.0,315634.0,1.0
y[1],0.001,0.324,-0.615,0.604,0.0,0.001,602545.0,307811.0,1.0
y[2],0.0,0.324,-0.612,0.605,0.0,0.001,600661.0,297509.0,1.0
y[3],0.0,0.324,-0.614,0.601,0.0,0.001,610812.0,304349.0,1.0
y[4],-0.0,0.325,-0.609,0.607,0.0,0.001,611659.0,292945.0,1.0
y[5],-0.001,0.326,-0.628,0.595,0.0,0.001,614444.0,298441.0,1.0
y[6],-0.0,0.324,-0.613,0.599,0.0,0.001,620863.0,290134.0,1.0
y[7],-0.0,0.325,-0.613,0.605,0.0,0.001,621823.0,294795.0,1.0
y[8],-0.001,0.324,-0.617,0.595,0.0,0.001,622080.0,294623.0,1.0
z[0],0.1,0.091,0.0,0.268,0.0,0.0,507681.0,224246.0,1.0
z[1],0.1,0.091,0.0,0.269,0.0,0.0,515485.0,223610.0,1.0
z[2],0.1,0.091,0.0,0.269,0.0,0.0,495864.0,215355.0,1.0
z[3],0.1,0.09,0.0,0.269,0.0,0.0,499558.0,222334.0,1.0
z[4],0.1,0.09,0.0,0.268,0.0,0.0,503320.0,227450.0,1.0
z[5],0.1,0.091,0.0,0.268,0.0,0.0,497265.0,225546.0,1.0
z[6],0.1,0.09,0.0,0.268,0.0,0.0,500857.0,241540.0,1.0
z[7],0.1,0.09,0.0,0.268,0.0,0.0,507247.0,256202.0,1.0
z[8],0.1,0.091,0.0,0.269,0.0,0.0,539446.0,298100.0,1.0
z[9],0.1,0.09,0.0,0.268,0.0,0.0,526378.0,293830.0,1.0
s[0],0.001,0.458,-0.857,0.868,0.001,0.001,592371.0,314372.0,1.0
s[1],0.001,0.46,-0.869,0.867,0.001,0.001,597742.0,315170.0,1.0
s[2],0.002,0.458,-0.859,0.866,0.001,0.001,593531.0,317108.0,1.0
s[3],0.001,0.459,-0.866,0.865,0.001,0.001,598686.0,313085.0,1.0
s[4],0.001,0.459,-0.871,0.862,0.001,0.001,596512.0,311791.0,1.0
s[5],0.001,0.459,-0.862,0.866,0.001,0.001,592304.0,311896.0,1.0
s[6],0.0,0.459,-0.856,0.874,0.001,0.001,597774.0,315762.0,1.0
s[7],0.001,0.458,-0.865,0.862,0.001,0.001,595219.0,312431.0,1.0
s[8],0.001,0.459,-0.867,0.865,0.001,0.001,595596.0,312435.0,1.0
s[9],0.0,0.0,0.0,0.0,0.0,0.0,400000.0,400000.0,
logr,2.349,0.308,1.786,2.934,0.0,0.0,628573.0,296585.0,1.0
x[0],0.1,0.03,0.047,0.156,0.0,0.0,624608.0,297199.0,1.0
x[1],0.1,0.03,0.046,0.156,0.0,0.0,627228.0,299406.0,1.0
x[2],0.1,0.03,0.046,0.156,0.0,0.0,627630.0,298693.0,1.0
x[3],0.1,0.03,0.047,0.156,0.0,0.0,623978.0,294069.0,1.0
x[4],0.1,0.03,0.047,0.156,0.0,0.0,628768.0,300044.0,1.0
x[5],0.1,0.03,0.046,0.156,0.0,0.0,622360.0,294750.0,1.0
x[6],0.1,0.03,0.046,0.156,0.0,0.0,623889.0,297578.0,1.0
x[7],0.1,0.03,0.047,0.157,0.0,0.0,628948.0,290650.0,1.0
x[8],0.1,0.03,0.047,0.157,0.0,0.0,629961.0,297242.0,1.0
x[9],0.1,0.03,0.047,0.157,0.0,0.0,628573.0,296570.0,1.0
