,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
y[0],131028.507,59539.951,24164.8,226148.0,2964.992,2098.084,403.0,407.0,63.02
y[1],131041.686,59505.041,24105.0,226185.0,2963.252,2096.853,403.0,409.0,63.6
y[2],131050.315,59501.455,24072.1,226306.0,2963.076,2096.728,403.0,403.0,63.15
y[3],131016.708,59516.344,24105.3,225997.0,2963.817,2097.253,403.0,403.0,63.28
y[4],131027.183,59489.862,23899.9,226217.0,2962.498,2096.32,403.0,403.0,63.05
y[5],131068.512,59493.947,24192.0,226327.0,2962.701,2096.463,403.0,403.0,63.23
y[6],131039.77,59501.798,23448.0,225924.0,2963.092,2096.74,403.0,409.0,63.73
y[7],131043.184,59494.094,23990.9,226283.0,2962.709,2096.469,403.0,403.0,63.83
y[8],131021.465,59533.62,23571.3,226144.0,2964.677,2097.862,403.0,403.0,62.36
y[9],131035.77,59498.134,24050.6,225746.0,2962.909,2096.61,403.0,403.0,61.19
logr,131380.818,59512.381,24192.0,226407.0,2963.619,2097.113,403.0,403.0,63.24
x[0],0.099,0.264,0.0,0.871,0.01,0.007,423.0,444.0,4.69
x[1],0.082,0.243,0.0,0.75,0.009,0.006,426.0,440.0,4.34
x[2],0.11,0.279,0.0,0.935,0.011,0.008,425.0,447.0,4.45
x[3],0.106,0.278,0.0,0.964,0.012,0.008,418.0,447.0,5.32
x[4],0.092,0.257,0.0,0.842,0.01,0.007,423.0,453.0,4.64
x[5],0.11,0.276,0.0,0.925,0.011,0.007,427.0,449.0,4.24
x[6],0.107,0.273,0.0,0.904,0.011,0.007,424.0,437.0,4.52
x[7],0.096,0.258,0.0,0.833,0.01,0.007,425.0,457.0,4.51
x[8],0.088,0.252,0.0,0.822,0.01,0.007,422.0,447.0,4.81
x[9],0.11,0.279,0.0,0.939,0.011,0.008,423.0,451.0,4.64
