,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
y[0],2.979,0.669,1.848,4.228,0.001,0.001,585050.0,232295.0,1.0
y[1],2.974,0.672,1.851,4.231,0.001,0.001,589830.0,229845.0,1.0
y[2],2.97,0.671,1.861,4.25,0.001,0.001,572540.0,227840.0,1.0
y[3],2.963,0.667,1.86,4.232,0.001,0.001,590803.0,235891.0,1.0
y[4],2.957,0.667,1.836,4.2,0.001,0.001,584930.0,231096.0,1.0
y[5],2.951,0.669,1.831,4.216,0.001,0.001,589870.0,226697.0,1.0
y[6],2.948,0.674,1.827,4.221,0.001,0.001,577209.0,229891.0,1.0
y[7],2.941,0.671,1.824,4.205,0.001,0.001,580871.0,229347.0,1.0
y[8],2.935,0.669,1.822,4.196,0.001,0.001,579478.0,230556.0,1.0
y[9],2.929,0.671,1.809,4.19,0.001,0.001,592452.0,230604.0,1.0
y[10],2.923,0.672,1.791,4.175,0.001,0.001,585947.0,228885.0,1.0
y[11],2.918,0.673,1.792,4.172,0.001,0.001,579306.0,233101.0,1.0
y[12],2.912,0.673,1.802,4.185,0.001,0.001,590199.0,226778.0,1.0
y[13],2.904,0.669,1.797,4.17,0.001,0.001,589206.0,228823.0,1.0
y[14],2.9,0.673,1.773,4.164,0.001,0.001,583597.0,230789.0,1.0
y[15],2.89,0.67,1.78,4.164,0.001,0.001,589643.0,230942.0,1.0
y[16],2.888,0.673,1.772,4.158,0.001,0.001,573274.0,225492.0,1.0
y[17],2.88,0.673,1.755,4.144,0.001,0.001,579599.0,228373.0,1.0
y[18],2.873,0.674,1.74,4.135,0.001,0.001,593352.0,230057.0,1.0
y[19],2.866,0.674,1.733,4.122,0.001,0.001,590089.0,228588.0,1.0
y[20],2.862,0.677,1.726,4.129,0.001,0.001,586974.0,228584.0,1.0
y[21],2.854,0.675,1.725,4.122,0.001,0.001,589698.0,225758.0,1.0
y[22],2.846,0.674,1.732,4.126,0.001,0.001,595038.0,231263.0,1.0
y[23],2.84,0.676,1.703,4.105,0.001,0.001,592811.0,226906.0,1.0
y[24],2.832,0.674,1.696,4.096,0.001,0.001,592188.0,229978.0,1.0
y[25],2.824,0.67,1.719,4.097,0.001,0.001,587317.0,232267.0,1.0
y[26],2.819,0.672,1.703,4.093,0.001,0.001,591261.0,233288.0,1.0
y[27],2.81,0.674,1.689,4.088,0.001,0.001,594201.0,230270.0,1.0
y[28],2.801,0.674,1.675,4.071,0.001,0.001,595279.0,230929.0,1.0
y[29],2.795,0.675,1.667,4.068,0.001,0.001,592236.0,231778.0,1.0
y[30],2.788,0.676,1.652,4.056,0.001,0.001,579928.0,225192.0,1.0
