,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
y[0],0.001,0.999,-1.859,1.896,0.001,0.002,553635.0,308910.0,1.0
y[1],0.001,1.001,-1.891,1.871,0.001,0.002,546168.0,303928.0,1.0
y[2],-0.0,0.998,-1.856,1.898,0.001,0.002,551990.0,306714.0,1.0
y[3],-0.001,0.996,-1.894,1.85,0.001,0.002,547067.0,303454.0,1.0
y[4],0.003,0.998,-1.865,1.89,0.001,0.002,550320.0,307652.0,1.0
y[5],-0.004,1.004,-1.905,1.868,0.001,0.002,558877.0,307758.0,1.0
y[6],0.001,1.0,-1.871,1.896,0.001,0.002,552124.0,304555.0,1.0
y[7],-0.001,1.001,-1.869,1.887,0.001,0.002,557894.0,303555.0,1.0
y[8],-0.001,0.998,-1.877,1.879,0.001,0.002,555534.0,308453.0,1.0
y[9],0.001,0.998,-1.863,1.889,0.001,0.002,558534.0,304377.0,1.0
y[10],-0.002,1.0,-1.901,1.856,0.001,0.002,544610.0,301109.0,1.0
y[11],-0.001,0.999,-1.885,1.875,0.001,0.002,549212.0,300241.0,1.0
y[12],-0.0,1.0,-1.88,1.879,0.001,0.002,549362.0,301791.0,1.0
y[13],0.0,1.003,-1.865,1.911,0.001,0.002,554712.0,302764.0,1.0
y[14],-0.002,1.003,-1.878,1.894,0.001,0.002,551520.0,304451.0,1.0
y[15],0.001,0.997,-1.875,1.877,0.001,0.002,548152.0,304054.0,1.0
y[16],-0.003,1.0,-1.909,1.851,0.001,0.002,547300.0,302770.0,1.0
y[17],-0.0,1.0,-1.882,1.872,0.001,0.002,556230.0,306806.0,1.0
y[18],-0.001,1.002,-1.882,1.881,0.001,0.002,547821.0,302568.0,1.0
y[19],0.0,0.998,-1.868,1.885,0.001,0.002,549668.0,301949.0,1.0
y[20],0.001,0.999,-1.858,1.898,0.001,0.002,552758.0,307492.0,1.0
y[21],0.0,0.998,-1.904,1.842,0.001,0.002,548772.0,302738.0,1.0
y[22],0.001,1.005,-1.89,1.886,0.001,0.002,554805.0,304871.0,1.0
y[23],-0.001,1.002,-1.878,1.894,0.001,0.002,552656.0,306493.0,1.0
y[24],-0.0,1.001,-1.884,1.881,0.001,0.002,556891.0,300021.0,1.0
y[25],0.001,1.0,-1.881,1.875,0.001,0.002,551023.0,308655.0,1.0
y[26],0.0,0.998,-1.897,1.863,0.001,0.002,547453.0,304446.0,1.0
y[27],0.001,1.001,-1.878,1.885,0.001,0.002,554216.0,304338.0,1.0
y[28],0.001,1.0,-1.886,1.877,0.001,0.002,549206.0,301417.0,1.0
y[29],-0.001,1.0,-1.89,1.868,0.001,0.002,554636.0,306556.0,1.0
y[30],-0.002,0.997,-1.864,1.884,0.001,0.002,543469.0,305121.0,1.0
y[31],-0.002,1.001,-1.904,1.852,0.001,0.002,560067.0,302651.0,1.0
y[32],0.0,1.0,-1.878,1.884,0.001,0.002,547027.0,303576.0,1.0
y[33],0.0,1.0,-1.894,1.865,0.001,0.002,558694.0,305456.0,1.0
y[34],0.0,0.999,-1.872,1.889,0.001,0.002,545737.0,301182.0,1.0
y[35],-0.002,0.999,-1.887,1.868,0.001,0.002,549627.0,304897.0,1.0
y[36],0.001,1.002,-1.872,1.898,0.001,0.002,553853.0,299278.0,1.0
y[37],-0.004,1.002,-1.868,1.899,0.001,0.002,548725.0,301457.0,1.0
y[38],-0.002,1.001,-1.866,1.904,0.001,0.002,554131.0,303446.0,1.0
y[39],0.0,0.999,-1.87,1.888,0.001,0.002,555057.0,304407.0,1.0
y[40],0.002,1.001,-1.883,1.881,0.001,0.002,544497.0,303134.0,1.0
y[41],0.002,0.999,-1.877,1.886,0.001,0.002,542844.0,304382.0,1.0
y[42],-0.001,1.003,-1.876,1.899,0.001,0.002,543055.0,300674.0,1.0
y[43],-0.0,1.0,-1.864,1.903,0.001,0.002,541143.0,304002.0,1.0
y[44],-0.002,1.004,-1.87,1.912,0.001,0.002,555476.0,303235.0,1.0
y[45],-0.0,1.002,-1.898,1.869,0.001,0.002,552766.0,303789.0,1.0
y[46],0.002,1.0,-1.875,1.88,0.001,0.002,554860.0,303394.0,1.0
y[47],0.003,0.999,-1.888,1.874,0.001,0.002,553131.0,309806.0,1.0
y[48],0.003,1.0,-1.875,1.883,0.001,0.002,552750.0,302964.0,1.0
y[49],0.0,0.999,-1.895,1.864,0.001,0.002,555277.0,307036.0,1.0
y[50],-0.001,0.997,-1.865,1.885,0.001,0.002,550651.0,306159.0,1.0
y[51],0.001,1.002,-1.893,1.88,0.001,0.002,542857.0,302791.0,1.0
y[52],-0.001,1.002,-1.882,1.882,0.001,0.002,560038.0,303692.0,1.0
y[53],-0.0,1.0,-1.9,1.865,0.001,0.002,554397.0,303355.0,1.0
y[54],-0.0,1.0,-1.856,1.894,0.001,0.002,542602.0,301737.0,1.0
y[55],-0.001,0.997,-1.865,1.882,0.001,0.002,550718.0,305654.0,1.0
y[56],-0.0,1.002,-1.875,1.89,0.001,0.002,543565.0,301119.0,1.0
y[57],0.0,1.002,-1.876,1.892,0.001,0.002,550029.0,303134.0,1.0
y[58],-0.0,1.0,-1.878,1.878,0.001,0.002,544121.0,307444.0,1.0
y[59],0.0,1.0,-1.873,1.889,0.001,0.002,551407.0,306524.0,1.0
y[60],-0.0,1.0,-1.892,1.867,0.001,0.002,550475.0,306193.0,1.0
y[61],0.001,0.998,-1.864,1.887,0.001,0.002,546706.0,300640.0,1.0
y[62],0.003,1.001,-1.896,1.872,0.001,0.002,555815.0,304894.0,1.0
y[63],0.0,0.999,-1.881,1.869,0.001,0.002,556763.0,304801.0,1.0
y[64],0.001,0.998,-1.879,1.869,0.001,0.002,547163.0,305192.0,1.0
y[65],-0.001,1.002,-1.891,1.875,0.001,0.002,549705.0,307337.0,1.0
y[66],0.001,0.998,-1.858,1.893,0.001,0.002,559540.0,305219.0,1.0
y[67],-0.0,0.998,-1.885,1.871,0.001,0.002,545406.0,306455.0,1.0
y[68],0.001,1.001,-1.885,1.885,0.001,0.002,554476.0,299050.0,1.0
y[69],-0.001,1.001,-1.864,1.896,0.001,0.002,551612.0,302593.0,1.0
y[70],-0.001,1.001,-1.918,1.841,0.001,0.002,559722.0,304941.0,1.0
y[71],-0.001,1.0,-1.862,1.892,0.001,0.002,547861.0,302733.0,1.0
y[72],0.001,1.001,-1.909,1.86,0.001,0.002,556137.0,301603.0,1.0
y[73],-0.002,1.0,-1.882,1.876,0.001,0.002,554023.0,304923.0,1.0
y[74],0.0,1.001,-1.881,1.877,0.001,0.002,553027.0,304799.0,1.0
y[75],-0.001,1.0,-1.872,1.885,0.001,0.002,551481.0,308906.0,1.0
y[76],-0.002,0.999,-1.885,1.873,0.001,0.002,543254.0,302148.0,1.0
y[77],0.001,1.001,-1.909,1.863,0.001,0.002,560119.0,303295.0,1.0
y[78],0.004,1.001,-1.866,1.894,0.001,0.002,559044.0,305676.0,1.0
y[79],0.0,1.002,-1.902,1.864,0.001,0.002,555035.0,303101.0,1.0
y[80],0.001,1.002,-1.888,1.877,0.001,0.002,556387.0,303544.0,1.0
y[81],0.001,1.002,-1.873,1.888,0.001,0.002,549829.0,303369.0,1.0
y[82],-0.0,1.001,-1.88,1.878,0.001,0.002,556165.0,302364.0,1.0
y[83],0.002,1.002,-1.9,1.876,0.001,0.002,554422.0,302796.0,1.0
y[84],-0.0,1.0,-1.884,1.875,0.001,0.002,551440.0,305552.0,1.0
y[85],-0.0,0.999,-1.886,1.873,0.001,0.002,555449.0,306229.0,1.0
y[86],0.0,0.999,-1.852,1.913,0.001,0.002,552234.0,305273.0,1.0
y[87],-0.003,1.0,-1.878,1.88,0.001,0.002,549991.0,304813.0,1.0
y[88],-0.0,0.999,-1.882,1.869,0.001,0.002,555985.0,305684.0,1.0
y[89],0.001,0.996,-1.884,1.857,0.001,0.002,552418.0,308848.0,1.0
y[90],-0.001,1.002,-1.888,1.887,0.001,0.002,551474.0,305490.0,1.0
y[91],0.0,0.998,-1.865,1.889,0.001,0.002,557603.0,307190.0,1.0
y[92],-0.003,0.999,-1.869,1.89,0.001,0.002,553596.0,305005.0,1.0
y[93],-0.001,0.998,-1.88,1.877,0.001,0.002,544517.0,305701.0,1.0
y[94],0.001,1.0,-1.862,1.895,0.001,0.002,548861.0,305784.0,1.0
y[95],-0.001,1.001,-1.889,1.877,0.001,0.002,546864.0,305122.0,1.0
y[96],0.004,1.0,-1.884,1.873,0.001,0.002,541664.0,302256.0,1.0
y[97],-0.001,1.001,-1.892,1.863,0.001,0.002,557368.0,308530.0,1.0
y[98],0.001,1.003,-1.886,1.882,0.001,0.002,547868.0,297157.0,1.0
x[0],0.01,0.01,0.0,0.028,0.0,0.0,553634.0,308919.0,1.0
x[1],0.01,0.01,0.0,0.028,0.0,0.0,546051.0,303823.0,1.0
x[2],0.01,0.01,0.0,0.028,0.0,0.0,551871.0,306558.0,1.0
x[3],0.01,0.01,0.0,0.028,0.0,0.0,546915.0,303816.0,1.0
x[4],0.01,0.01,0.0,0.028,0.0,0.0,550193.0,308261.0,1.0
x[5],0.01,0.01,0.0,0.028,0.0,0.0,558682.0,307783.0,1.0
x[6],0.01,0.01,0.0,0.028,0.0,0.0,551995.0,303947.0,1.0
x[7],0.01,0.01,0.0,0.028,0.0,0.0,557609.0,304206.0,1.0
x[8],0.01,0.01,0.0,0.028,0.0,0.0,555382.0,308860.0,1.0
x[9],0.01,0.01,0.0,0.028,0.0,0.0,558092.0,304347.0,1.0
x[10],0.01,0.01,0.0,0.028,0.0,0.0,544257.0,299475.0,1.0
x[11],0.01,0.01,0.0,0.028,0.0,0.0,548668.0,302481.0,1.0
x[12],0.01,0.01,0.0,0.028,0.0,0.0,548623.0,301739.0,1.0
x[13],0.01,0.01,0.0,0.028,0.0,0.0,554303.0,302686.0,1.0
x[14],0.01,0.01,0.0,0.028,0.0,0.0,550582.0,304086.0,1.0
x[15],0.01,0.01,0.0,0.028,0.0,0.0,547866.0,303799.0,1.0
x[16],0.01,0.01,0.0,0.028,0.0,0.0,546868.0,302137.0,1.0
x[17],0.01,0.01,0.0,0.028,0.0,0.0,555818.0,307185.0,1.0
x[18],0.01,0.01,0.0,0.028,0.0,0.0,546941.0,302671.0,1.0
x[19],0.01,0.01,0.0,0.028,0.0,0.0,548998.0,300627.0,1.0
x[20],0.01,0.01,0.0,0.028,0.0,0.0,551834.0,306807.0,1.0
x[21],0.01,0.01,0.0,0.028,0.0,0.0,547811.0,300350.0,1.0
x[22],0.01,0.01,0.0,0.028,0.0,0.0,553909.0,304378.0,1.0
x[23],0.01,0.01,0.0,0.028,0.0,0.0,551361.0,306838.0,1.0
x[24],0.01,0.01,0.0,0.028,0.0,0.0,556180.0,300928.0,1.0
x[25],0.01,0.01,0.0,0.028,0.0,0.0,550442.0,308587.0,1.0
x[26],0.01,0.01,0.0,0.028,0.0,0.0,546534.0,304335.0,1.0
x[27],0.01,0.01,0.0,0.028,0.0,0.0,553276.0,303810.0,1.0
x[28],0.01,0.01,0.0,0.028,0.0,0.0,547823.0,299923.0,1.0
x[29],0.01,0.01,0.0,0.028,0.0,0.0,553237.0,306802.0,1.0
x[30],0.01,0.01,0.0,0.028,0.0,0.0,542142.0,304811.0,1.0
x[31],0.01,0.01,0.0,0.028,0.0,0.0,558871.0,303567.0,1.0
x[32],0.01,0.01,0.0,0.028,0.0,0.0,545490.0,302547.0,1.0
x[33],0.01,0.01,0.0,0.028,0.0,0.0,557287.0,303892.0,1.0
x[34],0.01,0.01,0.0,0.028,0.0,0.0,544096.0,301455.0,1.0
x[35],0.01,0.01,0.0,0.028,0.0,0.0,547903.0,305062.0,1.0
x[36],0.01,0.01,0.0,0.028,0.0,0.0,551859.0,298356.0,1.0
x[37],0.01,0.01,0.0,0.028,0.0,0.0,546995.0,298938.0,1.0
x[38],0.01,0.01,0.0,0.028,0.0,0.0,552092.0,303362.0,1.0
x[39],0.01,0.01,0.0,0.028,0.0,0.0,553450.0,302254.0,1.0
x[40],0.01,0.01,0.0,0.028,0.0,0.0,542419.0,300331.0,1.0
x[41],0.01,0.01,0.0,0.028,0.0,0.0,541499.0,303699.0,1.0
x[42],0.01,0.01,0.0,0.028,0.0,0.0,540470.0,300692.0,1.0
x[43],0.01,0.01,0.0,0.028,0.0,0.0,538785.0,304571.0,1.0
x[44],0.01,0.01,0.0,0.028,0.0,0.0,552899.0,300779.0,1.0
x[45],0.01,0.01,0.0,0.028,0.0,0.0,550463.0,304393.0,1.0
x[46],0.01,0.01,0.0,0.028,0.0,0.0,552639.0,303152.0,1.0
x[47],0.01,0.01,0.0,0.028,0.0,0.0,549614.0,308861.0,1.0
x[48],0.01,0.01,0.0,0.028,0.0,0.0,549740.0,301733.0,1.0
x[49],0.01,0.01,0.0,0.028,0.0,0.0,552378.0,306842.0,1.0
x[50],0.01,0.01,0.0,0.028,0.0,0.0,547067.0,304483.0,1.0
x[51],0.01,0.01,0.0,0.028,0.0,0.0,539638.0,302669.0,1.0
x[52],0.01,0.01,0.0,0.028,0.0,0.0,556699.0,303297.0,1.0
x[53],0.01,0.01,0.0,0.028,0.0,0.0,551364.0,302769.0,1.0
x[54],0.01,0.01,0.0,0.028,0.0,0.0,539736.0,298879.0,1.0
x[55],0.01,0.01,0.0,0.028,0.0,0.0,546894.0,303135.0,1.0
x[56],0.01,0.01,0.0,0.028,0.0,0.0,539203.0,300203.0,1.0
x[57],0.01,0.01,0.0,0.028,0.0,0.0,545424.0,304591.0,1.0
x[58],0.01,0.01,0.0,0.028,0.0,0.0,540631.0,308659.0,1.0
x[59],0.01,0.01,0.0,0.028,0.0,0.0,546721.0,304938.0,1.0
x[60],0.01,0.01,0.0,0.028,0.0,0.0,546036.0,303954.0,1.0
x[61],0.01,0.01,0.0,0.028,0.0,0.0,542357.0,300345.0,1.0
x[62],0.01,0.01,0.0,0.028,0.0,0.0,551437.0,304332.0,1.0
x[63],0.01,0.01,0.0,0.028,0.0,0.0,552092.0,306268.0,1.0
x[64],0.01,0.01,0.0,0.028,0.0,0.0,542208.0,304052.0,1.0
x[65],0.01,0.01,0.0,0.028,0.0,0.0,545402.0,306109.0,1.0
x[66],0.01,0.01,0.0,0.028,0.0,0.0,553247.0,303647.0,1.0
x[67],0.01,0.01,0.0,0.028,0.0,0.0,539142.0,304122.0,1.0
x[68],0.01,0.01,0.0,0.028,0.0,0.0,548751.0,302841.0,1.0
x[69],0.01,0.01,0.0,0.028,0.0,0.0,545338.0,301932.0,1.0
x[70],0.01,0.01,0.0,0.028,0.0,0.0,552547.0,304735.0,1.0
x[71],0.01,0.01,0.0,0.028,0.0,0.0,539748.0,301523.0,1.0
x[72],0.01,0.01,0.0,0.028,0.0,0.0,548698.0,302326.0,1.0
x[73],0.01,0.01,0.0,0.028,0.0,0.0,544538.0,301099.0,1.0
x[74],0.01,0.01,0.0,0.028,0.0,0.0,545526.0,301690.0,1.0
x[75],0.01,0.01,0.0,0.028,0.0,0.0,542829.0,303014.0,1.0
x[76],0.01,0.01,0.0,0.028,0.0,0.0,534244.0,302183.0,1.0
x[77],0.01,0.01,0.0,0.028,0.0,0.0,549862.0,303897.0,1.0
x[78],0.01,0.01,0.0,0.028,0.0,0.0,546538.0,303893.0,1.0
x[79],0.01,0.01,0.0,0.028,0.0,0.0,545026.0,304722.0,1.0
x[80],0.01,0.01,0.0,0.028,0.0,0.0,544886.0,303100.0,1.0
x[81],0.01,0.01,0.0,0.028,0.0,0.0,539249.0,301459.0,1.0
x[82],0.01,0.01,0.0,0.028,0.0,0.0,544028.0,302008.0,1.0
x[83],0.01,0.01,0.0,0.028,0.0,0.0,540500.0,298632.0,1.0
x[84],0.01,0.01,0.0,0.028,0.0,0.0,534284.0,302633.0,1.0
x[85],0.01,0.01,0.0,0.028,0.0,0.0,541439.0,302368.0,1.0
x[86],0.01,0.01,0.0,0.028,0.0,0.0,533302.0,306530.0,1.0
x[87],0.01,0.01,0.0,0.028,0.0,0.0,529400.0,303571.0,1.0
x[88],0.01,0.01,0.0,0.028,0.0,0.0,534562.0,307390.0,1.0
x[89],0.01,0.01,0.0,0.028,0.0,0.0,528337.0,308204.0,1.0
