,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
y[0],3.041,2.172,-0.812,7.235,0.005,0.004,186252.0,169235.0,1.0
y[1],2.968,2.217,-0.986,7.232,0.005,0.004,191107.0,171377.0,1.0
y[2],2.879,2.271,-1.23,7.21,0.005,0.004,185402.0,172469.0,1.0
y[3],2.775,2.348,-1.456,7.271,0.005,0.004,184916.0,169496.0,1.0
y[4],2.615,2.444,-1.849,7.215,0.006,0.004,188322.0,175960.0,1.0
y[5],2.398,2.587,-2.413,7.141,0.006,0.004,187553.0,175496.0,1.0
y[6],2.056,2.8,-3.088,7.15,0.006,0.005,186832.0,186750.0,1.0
y[7],1.436,3.161,-4.292,7.084,0.007,0.005,179089.0,186734.0,1.0
y[8],-0.109,3.915,-6.873,6.853,0.01,0.007,162877.0,199212.0,1.0
x[0],0.103,0.215,0.0,0.603,0.0,0.0,186100.0,169236.0,1.0
x[1],0.103,0.214,0.0,0.603,0.0,0.0,190746.0,171277.0,1.0
x[2],0.102,0.213,0.0,0.599,0.0,0.0,186149.0,172362.0,1.0
x[3],0.101,0.212,0.0,0.592,0.0,0.0,184953.0,169874.0,1.0
x[4],0.101,0.212,0.0,0.594,0.0,0.0,191653.0,177282.0,1.0
x[5],0.101,0.212,0.0,0.593,0.0,0.0,192016.0,174939.0,1.0
x[6],0.1,0.211,0.0,0.589,0.0,0.0,193496.0,182504.0,1.0
x[7],0.098,0.209,0.0,0.579,0.0,0.0,185158.0,183031.0,1.0
x[8],0.097,0.207,0.0,0.575,0.0,0.0,175464.0,195352.0,1.0
x[9],0.096,0.207,0.0,0.574,0.0,0.0,181052.0,215006.0,1.0
log_det_jacobian,-81.297,23.321,-124.715,-39.74,0.057,0.042,178351.0,167521.0,1.0
