,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
x[0],0.001,0.0,0.0,0.002,0.0,0.0,17458.0,7855.0,1.0
x[1],0.001,0.0,0.0,0.002,0.0,0.0,16635.0,8455.0,1.0
x[2],0.001,0.0,0.0,0.002,0.0,0.0,14875.0,7987.0,1.0
x[3],0.001,0.0,0.0,0.002,0.0,0.0,15386.0,7608.0,1.0
x[4],0.001,0.0,0.0,0.002,0.0,0.0,15102.0,8303.0,1.0
x[5],0.001,0.0,0.0,0.002,0.0,0.0,16005.0,8215.0,1.0
x[6],0.001,0.0,0.0,0.002,0.0,0.0,16321.0,7377.0,1.0
x[7],0.001,0.0,0.0,0.002,0.0,0.0,16152.0,7974.0,1.0
x[8],0.001,0.0,0.0,0.002,0.0,0.0,15710.0,8111.0,1.0
x[9],0.001,0.0,0.0,0.002,0.0,0.0,16743.0,8363.0,1.0
x[10],0.001,0.0,0.0,0.002,0.0,0.0,16697.0,7398.0,1.0
x[11],0.001,0.0,0.0,0.002,0.0,0.0,16613.0,7206.0,1.0
x[12],0.001,0.0,0.0,0.002,0.0,0.0,16424.0,8804.0,1.0
x[13],0.001,0.0,0.0,0.002,0.0,0.0,15047.0,7444.0,1.0
x[14],0.001,0.0,0.0,0.002,0.0,0.0,15731.0,7364.0,1.0
x[15],0.001,0.0,0.0,0.002,0.0,0.0,16670.0,8191.0,1.0
x[16],0.001,0.0,0.0,0.002,0.0,0.0,15781.0,7712.0,1.0
x[17],0.001,0.0,0.0,0.002,0.0,0.0,16597.0,8007.0,1.0
x[18],0.001,0.0,0.0,0.002,0.0,0.0,15762.0,7378.0,1.0
x[19],0.001,0.0,0.0,0.002,0.0,0.0,16582.0,9022.0,1.0
x[20],0.001,0.0,0.0,0.002,0.0,0.0,15575.0,8236.0,1.0
x[21],0.001,0.0,0.0,0.002,0.0,0.0,15645.0,7699.0,1.0
x[22],0.001,0.0,0.0,0.002,0.0,0.0,15898.0,8464.0,1.0
x[23],0.001,0.0,0.0,0.002,0.0,0.0,16799.0,7236.0,1.0
x[24],0.001,0.0,0.0,0.002,0.0,0.0,14549.0,7848.0,1.0
x[25],0.001,0.0,0.0,0.002,0.0,0.0,16938.0,8401.0,1.0
x[26],0.001,0.0,0.0,0.002,0.0,0.0,16991.0,7954.0,1.0
x[27],0.001,0.0,0.0,0.002,0.0,0.0,16453.0,8463.0,1.0
x[28],0.001,0.0,0.0,0.002,0.0,0.0,15375.0,7729.0,1.0
x[29],0.001,0.0,0.0,0.002,0.0,0.0,15789.0,7942.0,1.0
x[30],0.001,0.0,0.0,0.002,0.0,0.0,14453.0,7643.0,1.0
x[31],0.001,0.0,0.0,0.002,0.0,0.0,16671.0,7252.0,1.0
