,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
y[0],-7.567,10.202,-26.946,5.303,0.05,0.035,37859.0,102854.0,1.01
y[1],-7.392,10.202,-27.021,5.58,0.037,0.027,121301.0,101219.0,1.01
y[2],-7.242,10.106,-26.708,6.052,0.034,0.028,147340.0,101812.0,1.01
y[3],-7.019,10.244,-27.006,6.533,0.04,0.028,61151.0,103160.0,1.01
y[4],-6.987,10.331,-27.391,7.384,0.073,0.051,29610.0,8630.0,1.01
y[5],-6.502,10.302,-26.882,8.504,0.031,0.027,163844.0,113064.0,1.0
y[6],-5.854,10.555,-27.132,10.477,0.031,0.028,189987.0,116416.0,1.01
y[7],-4.588,11.163,-26.802,14.941,0.047,0.034,60092.0,120759.0,1.01
y[8],-0.382,13.715,-28.521,26.864,0.225,0.177,4269.0,1400.0,1.05
z[0],0.098,0.21,0.0,0.584,0.001,0.0,37859.0,102854.0,1.01
z[1],0.109,0.225,0.0,0.648,0.0,0.0,121312.0,101219.0,1.0
z[2],0.123,0.245,0.0,0.726,0.0,0.0,147340.0,101812.0,1.01
z[3],0.143,0.266,0.0,0.807,0.0,0.0,61156.0,103160.0,1.01
z[4],0.163,0.292,0.0,0.887,0.001,0.0,29612.0,8630.0,1.01
z[5],0.195,0.323,0.0,0.954,0.001,0.0,163789.0,113064.0,1.0
z[6],0.245,0.363,0.0,0.992,0.001,0.001,189772.0,116416.0,1.01
z[7],0.326,0.41,0.0,1.0,0.001,0.001,59467.0,120759.0,1.01
z[8],0.496,0.456,0.0,1.0,0.003,0.002,10083.0,142561.0,1.02
x[0],0.098,0.21,0.0,0.584,0.001,0.0,37859.0,102854.0,1.01
x[1],0.098,0.21,0.0,0.584,0.0,0.0,114795.0,101491.0,1.0
x[2],0.099,0.211,0.0,0.592,0.0,0.0,145180.0,102856.0,1.01
x[3],0.101,0.211,0.0,0.587,0.0,0.0,36336.0,103962.0,1.01
x[4],0.098,0.211,0.0,0.587,0.0,0.0,31645.0,8615.0,1.01
x[5],0.099,0.211,0.0,0.587,0.0,0.0,153198.0,114773.0,1.0
x[6],0.098,0.211,0.0,0.586,0.0,0.0,171402.0,117925.0,1.01
x[7],0.099,0.211,0.0,0.589,0.0,0.0,49812.0,126352.0,1.01
x[8],0.108,0.222,0.0,0.665,0.003,0.002,10388.0,4237.0,1.02
x[9],0.101,0.213,0.0,0.597,0.0,0.0,4786.0,1404.0,1.05
cum_sum,0.791,0.288,0.17,1.0,0.003,0.002,21843.0,250891.0,1.01
